timestamp_utc,num_gpu_blocks_override,tenant_count,run_index,tenant_id,history_limit_tokens,turn_index,session_index,request_id,metrics_request_id,status,error_message,input_tokens,requested_min_tokens,requested_max_tokens,output_tokens,kv_history_tokens,prefix_hit_tokens,prefix_hit_rate,blocking_time_ms,ttft_ms,p95_tbt_ms,ttlt_ms,prompt_log_path,output_log_path,run_log
2026-05-14T03:13:41.055739+00:00,16384,32,1,11,24576,1,11,cmpl-tenant-11-turn-1-tenants-32-run-1,cmpl-tenant-11-turn-1-tenants-32-run-1-0,success,,50,2048,2048,2049,0,48,,0.1032,495.7351,21.703,69289.1643,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_11/turn_01_input.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_11/turn_01_output.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_logs_smallctx_mixed_limits_8GB/block_16384_tenant_32_run_1.log
2026-05-14T03:13:41.087106+00:00,16384,32,1,26,12288,1,26,cmpl-tenant-26-turn-1-tenants-32-run-1,cmpl-tenant-26-turn-1-tenants-32-run-1-0,success,,47,512,512,513,0,32,,0.2598,530.82,19.2792,16826.9988,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_26/turn_01_input.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_26/turn_01_output.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_logs_smallctx_mixed_limits_8GB/block_16384_tenant_32_run_1.log
2026-05-14T03:13:41.070426+00:00,16384,32,1,25,12288,1,25,cmpl-tenant-25-turn-1-tenants-32-run-1,cmpl-tenant-25-turn-1-tenants-32-run-1-0,success,,47,512,512,513,0,0,,0.5258,605.3191,19.5574,16880.9343,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_25/turn_01_input.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_25/turn_01_output.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_logs_smallctx_mixed_limits_8GB/block_16384_tenant_32_run_1.log
2026-05-14T03:13:41.076640+00:00,16384,32,1,30,12288,1,30,cmpl-tenant-30-turn-1-tenants-32-run-1,cmpl-tenant-30-turn-1-tenants-32-run-1-0,success,,53,512,512,513,0,0,,0.4883,597.9926,19.4086,16876.1987,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_30/turn_01_input.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_30/turn_01_output.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_logs_smallctx_mixed_limits_8GB/block_16384_tenant_32_run_1.log
2026-05-14T03:13:41.051778+00:00,16384,32,1,17,12288,1,17,cmpl-tenant-17-turn-1-tenants-32-run-1,cmpl-tenant-17-turn-1-tenants-32-run-1-0,success,,47,512,512,513,0,32,,0.0346,484.7731,19.2385,16753.1336,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_17/turn_01_input.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_17/turn_01_output.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_logs_smallctx_mixed_limits_8GB/block_16384_tenant_32_run_1.log
2026-05-14T03:13:41.083153+00:00,16384,32,1,29,12288,1,29,cmpl-tenant-29-turn-1-tenants-32-run-1,cmpl-tenant-29-turn-1-tenants-32-run-1-0,success,,53,512,512,513,0,48,,0.2427,500.7302,19.3215,16777.6431,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_29/turn_01_input.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_29/turn_01_output.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_logs_smallctx_mixed_limits_8GB/block_16384_tenant_32_run_1.log
2026-05-14T03:13:41.090643+00:00,16384,32,1,32,12288,1,32,cmpl-tenant-32-turn-1-tenants-32-run-1,cmpl-tenant-32-turn-1-tenants-32-run-1-0,success,,53,512,512,513,0,48,,0.0517,472.2574,19.1467,16735.3346,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_32/turn_01_input.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_32/turn_01_output.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_logs_smallctx_mixed_limits_8GB/block_16384_tenant_32_run_1.log
2026-05-14T03:13:41.072769+00:00,16384,32,1,24,12288,1,24,cmpl-tenant-24-turn-1-tenants-32-run-1,cmpl-tenant-24-turn-1-tenants-32-run-1-0,success,,47,512,512,513,0,32,,0.3455,538.2552,19.2708,16829.0681,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_24/turn_01_input.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_24/turn_01_output.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_logs_smallctx_mixed_limits_8GB/block_16384_tenant_32_run_1.log
2026-05-14T03:13:41.062403+00:00,16384,32,1,31,12288,1,31,cmpl-tenant-31-turn-1-tenants-32-run-1,cmpl-tenant-31-turn-1-tenants-32-run-1-0,success,,53,512,512,513,0,48,,0.4345,570.4107,19.2136,16850.9065,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_31/turn_01_input.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_31/turn_01_output.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_logs_smallctx_mixed_limits_8GB/block_16384_tenant_32_run_1.log
2026-05-14T03:13:41.079056+00:00,16384,32,1,18,12288,1,18,cmpl-tenant-18-turn-1-tenants-32-run-1,cmpl-tenant-18-turn-1-tenants-32-run-1-0,success,,47,512,512,513,0,32,,0.0689,481.1525,19.1561,16745.6578,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_18/turn_01_input.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_artifacts_smallctx_mixed_limits_8GB/io_logs/tenant_count_32/run_1/tenant_18/turn_01_output.txt,/home/noslab-gpu/zoneatten_gpu/vram_only_logs_smallctx_mixed_limits_8GB/block_16384_tenant_32_run_1.log
